iter	Passed	Remaining
399	33590	50386
400	33676	50305
401	33760	50220
402	33836	50124
403	33913	50031
404	33995	49944
405	34078	49859
406	34151	49759
407	34233	49672
408	34306	49572
409	34388	49485
410	34469	49398
411	34554	49315
412	34637	49230
413	34739	49171
414	34810	49070
415	34891	48982
416	34976	48900
417	35057	48811
418	35132	48716
419	35223	48641
420	35297	48544
421	35367	48441
422	35442	48345
423	35522	48256
424	35600	48165
425	35681	48077
426	35756	47982
427	35837	47895
428	35915	47803
429	35997	47716
430	36071	47621
431	36146	47526
432	36225	47435
433	36301	47342
434	36378	47250
435	36467	47173
436	36546	47084
437	36625	46994
438	36706	46907
439	36787	46821
440	36865	46729
441	36942	46638
442	37024	46551
443	37100	46458
444	37177	46367
445	37260	46283
446	37332	46185
447	37410	46094
448	37493	46010
449	37573	45923
450	37654	45836
451	37735	45750
452	37816	45663
453	37902	45583
454	37979	45491
455	38059	45403
456	38136	45313
457	38215	45224
458	38294	45135
459	38369	45042
460	38446	44951
461	38525	44863
462	38612	44783
463	38688	44692
464	38765	44600
465	38842	44510
466	38940	44443
467	39022	44358
468	39106	44276
469	39189	44192
470	39271	44107
471	39355	44024
472	39436	43939
473	39515	43850
474	39589	43757
475	39664	43663
476	39748	43581
477	39831	43497
478	39916	43417
479	39996	43329
480	40070	43236
481	40159	43159
482	40240	43073
483	40317	42982
484	40403	42902
485	40488	42821
486	40564	42730
487	40644	42643
488	40721	42553
489	40789	42454
490	40861	42359
491	40942	42273
492	41032	42198
493	41108	42107
494	41193	42025
495	41269	41935
496	41348	41847
497	41430	41762
498	41511	41677
499	41594	41594
500	41686	41519
501	41761	41429
502	41847	41348
503	41917	41252
504	41995	41163
505	42087	41089
506	42162	40998
507	42251	40920
508	42336	40838
509	42416	40753
510	42495	40666
511	42573	40577
512	42649	40488
513	42735	40407
514	42818	40323
515	42906	40245
516	42998	40170
517	43080	40086
518	43162	40002
519	43253	39925
520	43342	39848
521	43425	39764
522	43507	39680
523	43587	39594
524	43666	39508
525	43741	39417
526	43821	39331
527	43902	39246
528	43989	39166
529	44070	39081
530	44153	38997
531	44237	38915
532	44316	38829
533	44390	38738
534	44476	38657
535	44555	38570
536	44638	38487
537	44720	38403
538	44806	38322
539	44879	38230
540	44963	38148
541	45037	38057
542	45116	37971
543	45199	37887
544	45268	37792
545	45351	37709
546	45423	37617
547	45510	37537
548	45579	37443
549	45663	37361
550	45744	37276
551	45832	37197
552	45911	37111
553	45985	37020
554	46066	36936
555	46136	36843
556	46216	36757
557	46292	36668
558	46372	36583
559	46466	36509
560	46547	36424
561	46629	36340
562	46703	36251
563	46792	36172
564	46865	36082
565	46957	36006
566	47043	35925
567	47120	35838
568	47200	35753
569	47285	35671
570	47367	35587
571	47452	35506
572	47545	35430
573	47633	35351
574	47728	35277
575	47808	35192
576	47886	35105
577	47973	35025
578	48051	34939
579	48134	34855
580	48218	34773
581	48295	34686
582	48380	34605
583	48459	34519
584	48547	34439
585	48630	34356
586	48724	34281
587	48804	34196
588	48882	34109
589	48971	34031
590	49048	33943
591	49129	33859
592	49197	33766
593	49274	33679
594	49358	33597
595	49435	33510
596	49512	33422
597	49593	33338
598	49678	33257
599	49755	33170
600	49835	33085
601	49915	33000
602	49999	32918
603	50077	32832
604	50154	32745
605	50231	32658
606	50309	32572
607	50390	32488
608	50473	32405
609	50548	32317
610	50626	32232
611	50705	32146
612	50777	32057
613	50870	31980
614	50946	31893
615	51034	31813
616	51115	31729
617	51190	31641
618	51279	31562
619	51355	31475
620	51438	31393
621	51530	31316
622	51613	31233
623	51693	31148
624	51771	31062
625	51848	30976
626	51946	30902
627	52030	30820
628	52116	30739
629	52195	30654
630	52277	30571
631	52355	30485
632	52426	30396
633	52500	30307
634	52582	30224
635	52670	30144
636	52759	30065
637	52837	29979
638	52924	29899
639	53002	29814
640	53081	29728
641	53157	29642
642	53241	29560
643	53321	29475
644	53393	29387
645	53476	29304
646	53568	29226
647	53645	29140
648	53723	29055
649	53804	28971
650	53887	28889
651	53977	28810
652	54048	28721
653	54122	28633
654	54199	28547
655	54273	28460
656	54362	28381
657	54446	28299
658	54524	28213
659	54603	28129
660	54687	28047
661	54776	27967
662	54859	27885
663	54935	27798
664	55023	27718
665	55109	27637
666	55190	27553
667	55281	27475
668	55354	27387
669	55431	27301
670	55506	27215
671	55572	27124
672	55655	27041
673	55737	26958
674	55810	26871
675	55885	26785
676	55977	26707
677	56048	26619
678	56123	26532
679	56200	26447
680	56288	26367
681	56368	26283
682	56458	26204
683	56545	26123
684	56627	26040
685	56701	25953
686	56780	25869
687	56863	25786
688	56945	25704
689	57020	25618
690	57107	25537
691	57189	25454
692	57279	25374
693	57363	25292
694	57443	25208
695	57523	25125
696	57604	25041
697	57690	24960
698	57767	24875
699	57849	24792
700	57923	24706
701	58002	24622
702	58086	24540
703	58162	24454
704	58236	24368
705	58317	24285
706	58398	24202
707	58475	24117
708	58555	24033
709	58631	23947
710	58716	23866
711	58795	23782
712	58873	23697
713	58951	23613
714	59032	23530
715	59106	23444
716	59179	23358
717	59260	23275
718	59337	23190
719	59419	23107
720	59506	23026
721	59596	22946
722	59680	22865
723	59752	22778
724	59840	22698
725	59919	22614
726	60001	22531
727	60083	22448
728	60159	22363
729	60249	22283
730	60321	22197
731	60410	22117
732	60493	22035
733	60574	21952
734	60652	21867
735	60745	21789
736	60832	21708
737	60911	21624
738	60983	21538
739	61066	21455
740	61144	21371
741	61225	21288
742	61306	21205
743	61377	21119
744	61459	21036
745	61539	20953
746	61616	20868
747	61699	20786
748	61789	20706
749	61868	20622
750	61950	20540
751	62032	20457
752	62108	20372
753	62192	20291
754	62279	20209
755	62359	20126
756	62433	20041
757	62512	19957
758	62595	19875
759	62674	19791
760	62745	19705
761	62821	19621
762	62894	19535
763	62977	19453
764	63055	19369
765	63136	19286
766	63219	19204
767	63298	19121
768	63372	19036
769	63454	18954
770	63531	18869
771	63609	18786
772	63686	18702
773	63758	18616
774	63833	18532
775	63912	18449
776	63996	18367
777	64093	18288
778	64173	18205
779	64260	18124
780	64335	18040
781	64424	17959
782	64502	17876
783	64576	17791
784	64660	17709
785	64740	17626
786	64814	17541
787	64894	17458
788	64976	17376
789	65066	17296
790	65155	17215
791	65239	17133
792	65315	17049
793	65399	16967
794	65476	16883
795	65549	16799
796	65623	16714
797	65693	16629
798	65774	16546
799	65852	16463
800	65931	16380
801	66016	16298
802	66095	16215
803	66176	16132
804	66260	16050
805	66345	15968
806	66423	15885
807	66495	15800
808	66576	15718
809	66663	15637
810	66744	15554
811	66834	15474
812	66911	15390
813	66992	15307
814	67075	15225
815	67147	15141
816	67227	15058
817	67304	14974
818	67379	14890
819	67460	14808
820	67530	14723
821	67612	14641
822	67683	14556
823	67759	14472
824	67834	14389
825	67920	14307
826	68000	14224
827	68088	14143
828	68164	14060
829	68248	13978
830	68323	13895
831	68402	13812
832	68485	13730
833	68565	13647
834	68653	13566
835	68733	13483
836	68816	13401
837	68896	13318
838	68976	13236
839	69060	13154
840	69143	13072
841	69225	12989
842	69309	12908
843	69405	12828
844	69495	12747
845	69588	12667
846	69670	12585
847	69746	12501
848	69829	12419
849	69909	12337
850	69979	12252
851	70060	12170
852	70139	12087
853	70219	12004
854	70310	11923
855	70381	11839
856	70452	11755
857	70532	11673
858	70614	11590
859	70679	11505
860	70756	11422
861	70847	11342
862	70922	11258
863	70997	11175
864	71070	11091
865	71148	11009
866	71226	10926
867	71299	10842
868	71384	10761
869	71461	10678
870	71544	10596
871	71618	10512
872	71690	10429
873	71770	10346
874	71850	10264
875	71927	10181
876	72009	10099
877	72088	10016
878	72177	9935
879	72259	9853
880	72341	9771
881	72422	9689
882	72498	9606
883	72577	9523
884	72656	9441
885	72745	9360
886	72816	9276
887	72892	9193
888	72964	9110
889	73031	9026
890	73113	8944
891	73182	8860
892	73265	8778
893	73351	8697
894	73433	8615
895	73516	8533
896	73596	8450
897	73672	8368
898	73768	8287
899	73853	8205
900	73940	8124
901	74023	8042
902	74107	7960
903	74181	7877
904	74261	7795
905	74342	7713
906	74432	7631
907	74514	7549
908	74581	7466
909	74652	7383
910	74736	7301
911	74811	7218
912	74898	7137
913	74979	7054
914	75049	6971
915	75130	6889
916	75211	6807
917	75298	6726
918	75376	6643
919	75459	6561
920	75544	6479
921	75624	6397
922	75697	6314
923	75782	6233
924	75857	6150
925	75928	6067
926	76013	5985
927	76089	5903
928	76174	5821
929	76262	5740
930	76343	5658
931	76422	5575
932	76505	5493
933	76594	5412
934	76679	5330
935	76763	5248
936	76841	5166
937	76928	5084
938	77018	5003
939	77127	4923
940	77241	4843
941	77333	4761
942	77413	4679
943	77497	4597
944	77567	4514
945	77648	4432
946	77722	4349
947	77806	4267
948	77902	4186
949	77992	4104
950	78081	4023
951	78181	3941
952	78275	3860
953	78351	3777
954	78432	3695
955	78512	3613
956	78586	3531
957	78658	3448
958	78735	3366
959	78821	3284
960	78909	3202
961	78993	3120
962	79078	3038
963	79153	2955
964	79242	2874
965	79332	2792
966	79409	2709
967	79491	2627
968	79576	2545
969	79651	2463
970	79729	2381
971	79808	2298
972	79895	2217
973	79974	2134
974	80055	2052
975	80140	1970
976	80213	1888
977	80295	1806
978	80378	1724
979	80462	1642
980	80545	1559
981	80619	1477
982	80697	1395
983	80789	1313
984	80866	1231
985	80952	1149
986	81029	1067
987	81112	985
988	81185	902
989	81269	820
990	81343	738
991	81416	656
992	81493	574
993	81576	492
994	81655	410
995	81735	328
996	81817	246
997	81902	164
998	81977	82
999	82058	0
