airport_group,group_latitude_deg,group_longitude_deg,group_elevation_ft
A,61.459068333333335,6.333516666666667,958.3333333333334
B,62.50103365445966,8.226300144195534,769.0
C,66.36576587076833,14.561366681416667,12.333333333333334
D,66.034899410319,13.328400061543666,174.0
E,67.97409311263033,13.460058265177333,37.333333333333336
F,70.60905566666666,29.923869999999997,191.33333333333334
G,70.52723433333334,26.6037,62.333333333333336
